[22:55:35] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79856	test-auc:0.78537
[1]	train-auc:0.80744	test-auc:0.79497
[2]	train-auc:0.82280	test-auc:0.81060
[3]	train-auc:0.82959	test-auc:0.81678
[4]	train-auc:0.83209	test-auc:0.82026
[5]	train-auc:0.83340	test-auc:0.82116
[6]	train-auc:0.83486	test-auc:0.82248
[7]	train-auc:0.83782	test-auc:0.82531
[8]	train-auc:0.83936	test-auc:0.82680
[9]	train-auc:0.84051	test-auc:0.82806
[10]	train-auc:0.84158	test-auc:0.82881
[11]	train-auc:0.84213	test-auc:0.82950
[12]	train-auc:0.84288	test-auc:0.83005
[13]	train-auc:0.84513	test-auc:0.83180
[14]	train-auc:0.84668	test-auc:0.83304
[15]	train-auc:0.84714	test-auc:0.83309
[16]	train-auc:0.84789	test-auc:0.83348
[17]	train-auc:0.84895	test-auc:0.83419
[18]	train-auc:0.85025	test-auc:0.83499
[19]	train-auc:0.85079	test-auc:0.83567
[20]	train-auc:0.85162	test-auc:0.83641
[21]	train-auc:0.85311	test-auc:0.83752
[22]	train-auc:0.85402	test-auc:0.83801
[23]	train-auc:0.85515	test-auc:0.83868
[24]	train-auc:0.85635	test-auc:0.83932
[25]	train-auc:0.85712	test-auc:0.83983
[26]	train-auc:0.85834	test-auc:0.84082
[27]	train-auc:0.85929	test-auc:0.84142
[28]	train-auc:0.86038	test-auc:0.84235
[29]	train-auc:0.86149	test-auc:0.84304
[30]	train-auc:0.86217	test-auc:0.84342
[31]	train-auc:0.86330	test-auc:0.84427
[32]	train-auc:0.86403	test-auc:0.84455
[33]	train-auc:0.86485	test-auc:0.84510
[34]	train-auc:0.86552	test-auc:0.84543
[35]	train-auc:0.86625	test-auc:0.84580
[36]	train-auc:0.86696	test-auc:0.84622
[37]	train-auc:0.86801	test-auc:0.84680
[38]	train-auc:0.86860	test-auc:0.84696
[39]	train-auc:0.86980	test-auc:0.84791
[40]	train-auc:0.87055	test-auc:0.84845
[41]	train-auc:0.87150	test-auc:0.84913
[42]	train-auc:0.87220	test-auc:0.84942
[43]	train-auc:0.87283	test-auc:0.84969
[44]	train-auc:0.87384	test-auc:0.85050
[45]	train-auc:0.87433	test-auc:0.85071
[46]	train-auc:0.87511	test-auc:0.85123
[47]	train-auc:0.87577	test-auc:0.85159
[48]	train-auc:0.87628	test-auc:0.85178
[49]	train-auc:0.87685	test-auc:0.85216
[50]	train-auc:0.87743	test-auc:0.85235
[51]	train-auc:0.87809	test-auc:0.85272
[52]	train-auc:0.87854	test-auc:0.85300
[53]	train-auc:0.87906	test-auc:0.85324
[54]	train-auc:0.87974	test-auc:0.85365
[55]	train-auc:0.88023	test-auc:0.85385
[56]	train-auc:0.88072	test-auc:0.85401
[57]	train-auc:0.88111	test-auc:0.85422
[58]	train-auc:0.88220	test-auc:0.85497
[59]	train-auc:0.88262	test-auc:0.85518
[60]	train-auc:0.88322	test-auc:0.85537
[61]	train-auc:0.88378	test-auc:0.85564
[62]	train-auc:0.88430	test-auc:0.85582
[63]	train-auc:0.88516	test-auc:0.85641
[64]	train-auc:0.88562	test-auc:0.85654
[65]	train-auc:0.88595	test-auc:0.85661
[66]	train-auc:0.88628	test-auc:0.85672
[67]	train-auc:0.88687	test-auc:0.85707
[68]	train-auc:0.88750	test-auc:0.85750
[69]	train-auc:0.88787	test-auc:0.85763
[70]	train-auc:0.88831	test-auc:0.85774
[71]	train-auc:0.88864	test-auc:0.85788
[72]	train-auc:0.88919	test-auc:0.85836
[73]	train-auc:0.88957	test-auc:0.85850
[74]	train-auc:0.89007	test-auc:0.85852
[75]	train-auc:0.89026	test-auc:0.85858
[76]	train-auc:0.89090	test-auc:0.85889
[77]	train-auc:0.89140	test-auc:0.85912
[78]	train-auc:0.89184	test-auc:0.85944
[79]	train-auc:0.89232	test-auc:0.85967
[80]	train-auc:0.89279	test-auc:0.85971
[81]	train-auc:0.89306	test-auc:0.85979
[82]	train-auc:0.89345	test-auc:0.85999
[83]	train-auc:0.89399	test-auc:0.86011
[84]	train-auc:0.89471	test-auc:0.86062
[85]	train-auc:0.89497	test-auc:0.86068
[86]	train-auc:0.89532	test-auc:0.86060
[87]	train-auc:0.89574	test-auc:0.86064
[88]	train-auc:0.89594	test-auc:0.86077
[89]	train-auc:0.89632	test-auc:0.86093
[90]	train-auc:0.89673	test-auc:0.86101
[91]	train-auc:0.89719	test-auc:0.86113
[92]	train-auc:0.89747	test-auc:0.86123
[93]	train-auc:0.89783	test-auc:0.86125
[94]	train-auc:0.89806	test-auc:0.86131
[95]	train-auc:0.89824	test-auc:0.86136
[96]	train-auc:0.89852	test-auc:0.86147
[97]	train-auc:0.89887	test-auc:0.86161
[98]	train-auc:0.89926	test-auc:0.86175
[99]	train-auc:0.89959	test-auc:0.86176
[100]	train-auc:0.89974	test-auc:0.86184
[101]	train-auc:0.90028	test-auc:0.86219
[102]	train-auc:0.90071	test-auc:0.86234
[103]	train-auc:0.90109	test-auc:0.86249
