[18:24:05] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.75512	test-auc:0.74031
[1]	train-auc:0.77687	test-auc:0.75817
[2]	train-auc:0.78719	test-auc:0.76853
[3]	train-auc:0.79480	test-auc:0.77473
[4]	train-auc:0.79857	test-auc:0.77774
[5]	train-auc:0.80281	test-auc:0.78239
[6]	train-auc:0.80716	test-auc:0.78529
[7]	train-auc:0.80990	test-auc:0.78764
[8]	train-auc:0.81242	test-auc:0.78919
[9]	train-auc:0.81408	test-auc:0.79024
[10]	train-auc:0.81554	test-auc:0.79208
[11]	train-auc:0.81699	test-auc:0.79379
[12]	train-auc:0.81893	test-auc:0.79551
[13]	train-auc:0.82042	test-auc:0.79681
[14]	train-auc:0.82112	test-auc:0.79739
[15]	train-auc:0.82247	test-auc:0.79807
[16]	train-auc:0.82420	test-auc:0.79879
[17]	train-auc:0.82570	test-auc:0.79992
[18]	train-auc:0.82753	test-auc:0.80134
[19]	train-auc:0.82867	test-auc:0.80197
[20]	train-auc:0.82990	test-auc:0.80271
[21]	train-auc:0.83125	test-auc:0.80375
[22]	train-auc:0.83289	test-auc:0.80476
[23]	train-auc:0.83412	test-auc:0.80563
[24]	train-auc:0.83514	test-auc:0.80594
[25]	train-auc:0.83683	test-auc:0.80724
[26]	train-auc:0.83796	test-auc:0.80825
[27]	train-auc:0.83952	test-auc:0.80924
[28]	train-auc:0.84096	test-auc:0.81017
[29]	train-auc:0.84255	test-auc:0.81090
[30]	train-auc:0.84372	test-auc:0.81153
[31]	train-auc:0.84504	test-auc:0.81237
[32]	train-auc:0.84622	test-auc:0.81293
[33]	train-auc:0.84714	test-auc:0.81336
[34]	train-auc:0.84857	test-auc:0.81434
[35]	train-auc:0.84960	test-auc:0.81496
[36]	train-auc:0.85077	test-auc:0.81553
[37]	train-auc:0.85205	test-auc:0.81631
[38]	train-auc:0.85315	test-auc:0.81671
[39]	train-auc:0.85401	test-auc:0.81707
[40]	train-auc:0.85515	test-auc:0.81789
[41]	train-auc:0.85615	test-auc:0.81815
[42]	train-auc:0.85724	test-auc:0.81871
[43]	train-auc:0.85819	test-auc:0.81905
[44]	train-auc:0.85899	test-auc:0.81947
[45]	train-auc:0.85982	test-auc:0.81977
[46]	train-auc:0.86084	test-auc:0.82014
[47]	train-auc:0.86193	test-auc:0.82061
[48]	train-auc:0.86266	test-auc:0.82107
[49]	train-auc:0.86361	test-auc:0.82147
[50]	train-auc:0.86456	test-auc:0.82197
[51]	train-auc:0.86560	test-auc:0.82264
[52]	train-auc:0.86638	test-auc:0.82298
[53]	train-auc:0.86717	test-auc:0.82343
[54]	train-auc:0.86782	test-auc:0.82355
[55]	train-auc:0.86872	test-auc:0.82388
[56]	train-auc:0.86964	test-auc:0.82423
[57]	train-auc:0.87042	test-auc:0.82446
[58]	train-auc:0.87137	test-auc:0.82475
[59]	train-auc:0.87216	test-auc:0.82508
[60]	train-auc:0.87300	test-auc:0.82529
[61]	train-auc:0.87374	test-auc:0.82552
[62]	train-auc:0.87433	test-auc:0.82579
[63]	train-auc:0.87482	test-auc:0.82599
[64]	train-auc:0.87548	test-auc:0.82627
[65]	train-auc:0.87604	test-auc:0.82647
[66]	train-auc:0.87678	test-auc:0.82679
[67]	train-auc:0.87746	test-auc:0.82701
[68]	train-auc:0.87815	test-auc:0.82727
[69]	train-auc:0.87874	test-auc:0.82752
[70]	train-auc:0.87940	test-auc:0.82775
[71]	train-auc:0.88010	test-auc:0.82789
[72]	train-auc:0.88051	test-auc:0.82799
[73]	train-auc:0.88113	test-auc:0.82829
[74]	train-auc:0.88179	test-auc:0.82851
[75]	train-auc:0.88238	test-auc:0.82872
[76]	train-auc:0.88297	test-auc:0.82865
[77]	train-auc:0.88344	test-auc:0.82880
[78]	train-auc:0.88402	test-auc:0.82899
[79]	train-auc:0.88449	test-auc:0.82903
[80]	train-auc:0.88513	test-auc:0.82913
[81]	train-auc:0.88577	test-auc:0.82942
[82]	train-auc:0.88619	test-auc:0.82953
[83]	train-auc:0.88666	test-auc:0.82960
[84]	train-auc:0.88708	test-auc:0.82987
[85]	train-auc:0.88772	test-auc:0.83017
[86]	train-auc:0.88821	test-auc:0.83009
[87]	train-auc:0.88871	test-auc:0.83011
[88]	train-auc:0.88937	test-auc:0.83038
[89]	train-auc:0.88992	test-auc:0.83059
[90]	train-auc:0.89038	test-auc:0.83074
[91]	train-auc:0.89085	test-auc:0.83091
[92]	train-auc:0.89138	test-auc:0.83106
[93]	train-auc:0.89187	test-auc:0.83129
[94]	train-auc:0.89217	test-auc:0.83162
[95]	train-auc:0.89271	test-auc:0.83168
[96]	train-auc:0.89319	test-auc:0.83186
[97]	train-auc:0.89364	test-auc:0.83200
[98]	train-auc:0.89427	test-auc:0.83211
[99]	train-auc:0.89467	test-auc:0.83230
[100]	train-auc:0.89522	test-auc:0.83247
[101]	train-auc:0.89569	test-auc:0.83257
[102]	train-auc:0.89600	test-auc:0.83274
[103]	train-auc:0.89652	test-auc:0.83288
[104]	train-auc:0.89701	test-auc:0.83286
[105]	train-auc:0.89742	test-auc:0.83286
[106]	train-auc:0.89797	test-auc:0.83294
[107]	train-auc:0.89825	test-auc:0.83299
[108]	train-auc:0.89873	test-auc:0.83315
[109]	train-auc:0.89911	test-auc:0.83319
[110]	train-auc:0.89955	test-auc:0.83327
[111]	train-auc:0.89997	test-auc:0.83326
[112]	train-auc:0.90036	test-auc:0.83329
[113]	train-auc:0.90068	test-auc:0.83341
[114]	train-auc:0.90113	test-auc:0.83339
[115]	train-auc:0.90144	test-auc:0.83341
[116]	train-auc:0.90182	test-auc:0.83345
[117]	train-auc:0.90212	test-auc:0.83349
[118]	train-auc:0.90253	test-auc:0.83370
[119]	train-auc:0.90282	test-auc:0.83381
[120]	train-auc:0.90328	test-auc:0.83376
[121]	train-auc:0.90356	test-auc:0.83383
[122]	train-auc:0.90407	test-auc:0.83397
[123]	train-auc:0.90445	test-auc:0.83406
[124]	train-auc:0.90473	test-auc:0.83413
[125]	train-auc:0.90502	test-auc:0.83418
[126]	train-auc:0.90529	test-auc:0.83420
[127]	train-auc:0.90553	test-auc:0.83422
[128]	train-auc:0.90592	test-auc:0.83419
[129]	train-auc:0.90624	test-auc:0.83426
[130]	train-auc:0.90662	test-auc:0.83439
[131]	train-auc:0.90708	test-auc:0.83448
[132]	train-auc:0.90726	test-auc:0.83449
[133]	train-auc:0.90768	test-auc:0.83448
[134]	train-auc:0.90796	test-auc:0.83452
[135]	train-auc:0.90839	test-auc:0.83459
[136]	train-auc:0.90863	test-auc:0.83472
[137]	train-auc:0.90892	test-auc:0.83479
[138]	train-auc:0.90924	test-auc:0.83490
[139]	train-auc:0.90948	test-auc:0.83495
[140]	train-auc:0.90977	test-auc:0.83493
[141]	train-auc:0.91009	test-auc:0.83506
[142]	train-auc:0.91049	test-auc:0.83511
[143]	train-auc:0.91069	test-auc:0.83519
[144]	train-auc:0.91102	test-auc:0.83513
[145]	train-auc:0.91137	test-auc:0.83522
[146]	train-auc:0.91158	test-auc:0.83516
[147]	train-auc:0.91174	test-auc:0.83518
[148]	train-auc:0.91204	test-auc:0.83515
[149]	train-auc:0.91248	test-auc:0.83517
[150]	train-auc:0.91279	test-auc:0.83518
[151]	train-auc:0.91322	test-auc:0.83523
[152]	train-auc:0.91352	test-auc:0.83535
[153]	train-auc:0.91390	test-auc:0.83538
[154]	train-auc:0.91421	test-auc:0.83536
[155]	train-auc:0.91454	test-auc:0.83536
[156]	train-auc:0.91487	test-auc:0.83545
[157]	train-auc:0.91515	test-auc:0.83551
[158]	train-auc:0.91534	test-auc:0.83548
[159]	train-auc:0.91561	test-auc:0.83545
[160]	train-auc:0.91593	test-auc:0.83543
[161]	train-auc:0.91627	test-auc:0.83553
[162]	train-auc:0.91650	test-auc:0.83555
[163]	train-auc:0.91690	test-auc:0.83555
[164]	train-auc:0.91727	test-auc:0.83570
[165]	train-auc:0.91759	test-auc:0.83567
[166]	train-auc:0.91788	test-auc:0.83562
[167]	train-auc:0.91817	test-auc:0.83568
[168]	train-auc:0.91860	test-auc:0.83568
[169]	train-auc:0.91873	test-auc:0.83566
[170]	train-auc:0.91889	test-auc:0.83564
[171]	train-auc:0.91923	test-auc:0.83580
[172]	train-auc:0.91955	test-auc:0.83579
[173]	train-auc:0.91980	test-auc:0.83574
[174]	train-auc:0.91994	test-auc:0.83573
[175]	train-auc:0.92010	test-auc:0.83571
ethnicity
gender
hospital_admit_source
icu_admit_source
icu_id
icu_stay_type
icu_type
apache_2_diagnosis
apache_3j_diagnosis
