[16:43:14] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[0]	train-auc:0.79748	test-auc:0.79571
[1]	train-auc:0.80654	test-auc:0.80522
[2]	train-auc:0.82154	test-auc:0.81952
[3]	train-auc:0.82729	test-auc:0.82457
[4]	train-auc:0.83027	test-auc:0.82786
[5]	train-auc:0.83227	test-auc:0.82970
[6]	train-auc:0.83431	test-auc:0.83176
[7]	train-auc:0.83635	test-auc:0.83397
[8]	train-auc:0.83778	test-auc:0.83581
[9]	train-auc:0.83881	test-auc:0.83718
[10]	train-auc:0.83971	test-auc:0.83838
[11]	train-auc:0.84030	test-auc:0.83917
[12]	train-auc:0.84118	test-auc:0.83999
[13]	train-auc:0.84331	test-auc:0.84184
[14]	train-auc:0.84476	test-auc:0.84319
[15]	train-auc:0.84520	test-auc:0.84361
[16]	train-auc:0.84594	test-auc:0.84428
[17]	train-auc:0.84669	test-auc:0.84515
[18]	train-auc:0.84800	test-auc:0.84638
[19]	train-auc:0.84860	test-auc:0.84715
[20]	train-auc:0.84958	test-auc:0.84816
[21]	train-auc:0.85111	test-auc:0.84969
[22]	train-auc:0.85199	test-auc:0.85057
[23]	train-auc:0.85280	test-auc:0.85146
[24]	train-auc:0.85384	test-auc:0.85249
[25]	train-auc:0.85446	test-auc:0.85312
[26]	train-auc:0.85584	test-auc:0.85469
[27]	train-auc:0.85689	test-auc:0.85588
[28]	train-auc:0.85770	test-auc:0.85668
[29]	train-auc:0.85866	test-auc:0.85754
[30]	train-auc:0.85927	test-auc:0.85815
[31]	train-auc:0.86013	test-auc:0.85897
[32]	train-auc:0.86073	test-auc:0.85962
[33]	train-auc:0.86156	test-auc:0.86043
[34]	train-auc:0.86229	test-auc:0.86116
[35]	train-auc:0.86299	test-auc:0.86206
[36]	train-auc:0.86367	test-auc:0.86275
[37]	train-auc:0.86452	test-auc:0.86348
[38]	train-auc:0.86513	test-auc:0.86418
[39]	train-auc:0.86628	test-auc:0.86526
[40]	train-auc:0.86686	test-auc:0.86591
[41]	train-auc:0.86774	test-auc:0.86677
[42]	train-auc:0.86847	test-auc:0.86761
[43]	train-auc:0.86901	test-auc:0.86821
[44]	train-auc:0.86985	test-auc:0.86901
[45]	train-auc:0.87047	test-auc:0.86964
[46]	train-auc:0.87118	test-auc:0.87035
[47]	train-auc:0.87182	test-auc:0.87102
[48]	train-auc:0.87228	test-auc:0.87143
[49]	train-auc:0.87324	test-auc:0.87249
[50]	train-auc:0.87375	test-auc:0.87300
[51]	train-auc:0.87404	test-auc:0.87327
[52]	train-auc:0.87465	test-auc:0.87394
[53]	train-auc:0.87506	test-auc:0.87435
[54]	train-auc:0.87583	test-auc:0.87517
[55]	train-auc:0.87636	test-auc:0.87578
[56]	train-auc:0.87679	test-auc:0.87620
[57]	train-auc:0.87723	test-auc:0.87668
[58]	train-auc:0.87769	test-auc:0.87719
[59]	train-auc:0.87811	test-auc:0.87755
[60]	train-auc:0.87845	test-auc:0.87799
[61]	train-auc:0.87921	test-auc:0.87882
[62]	train-auc:0.87970	test-auc:0.87930
[63]	train-auc:0.88016	test-auc:0.87974
[64]	train-auc:0.88066	test-auc:0.88033
[65]	train-auc:0.88111	test-auc:0.88079
